,Original_Full_Reference,,,,,,,,,,,,,,,
182,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-16",,,,,,,,,,,,,,,
183,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-17",,,,,,,,,,,,,,,
184,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-18",,,,,,,,,,,,,,,
185,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-19",,,,,,,,,,,,,,,
186,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-20",,,,,,,,,,,,,,,
187,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-21",,,,,,,,,,,,,,,
188,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-22",,,,,,,,,,,,,,,
189,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-23",,,,,,,,,,,,,,,
190,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-24",,,,,,,,,,,,,,,
191,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-25",,,,,,,,,,,,,,,
192,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-26",,,,,,,,,,,,,,,
193,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-27",,,,,,,,,,,,,,,
194,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-28",,,,,,,,,,,,,,,
195,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-29",,,,,,,,,,,,,,,
196,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-30",,,,,,,,,,,,,,,
197,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-31",,,,,,,,,,,,,,,
198,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-32",,,,,,,,,,,,,,,
199,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-33",,,,,,,,,,,,,,,
200,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-34",,,,,,,,,,,,,,,
201,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-35",,,,,,,,,,,,,,,
202,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-36",,,,,,,,,,,,,,,
203,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-37",,,,,,,,,,,,,,,
204,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-38",,,,,,,,,,,,,,,
205,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-39",,,,,,,,,,,,,,,
206,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-40",,,,,,,,,,,,,,,
207,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-41",,,,,,,,,,,,,,,
208,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-42",,,,,,,,,,,,,,,
209,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-43",,,,,,,,,,,,,,,
210,"Lofaro, E.M., Kurin, D.S., Gómez Choque, D.E. et al. (2019). Reconstructing diet and mobility using multi-isotopic analysis in Apurimac, Peru (~ AD 880–1260). Archaeological and Anthropological Sciences, 11, 1089–1105. https://doi.org/10.1007/s12520-017-0587-44",,,,,,,,,,,,,,,
12,"Lucas, C.A. (2012). People on the move: examining Tiwanaku state expansion in the Cochabamba Valley through strontium isotope analysis. Master's Thesis, Northern Arizona University.",,,,,,,,,,,,,,,
17,"Malaspinas, A.S. Lao, O., Schroeder, H., Rasmussen, M., Raghavan, M., et al. (2014). Two ancient human genomes reveal Polynesian ancestry among the indigenous Botocudos of Brazil. Current Biology, 24 (21), R1035–R1037. 10.1016/j.cub.2014.09.078",,,,,,,,,,,,,,,
18,"Malaspinas, A.S. Lao, O., Schroeder, H., Rasmussen, M., Raghavan, M., et al. (2014). Two ancient human genomes reveal Polynesian ancestry among the indigenous Botocudos of Brazil. Current Biology, 24 (21), R1035–R1037. 10.1016/j.cub.2014.09.080",,,,,,,,,,,,,,,
19,"Malaspinas, A.S. Lao, O., Schroeder, H., Rasmussen, M., Raghavan, M., et al. (2014). Two ancient human genomes reveal Polynesian ancestry among the indigenous Botocudos of Brazil. Current Biology, 24 (21), R1035–R1037. 10.1016/j.cub.2014.09.081",,,,,,,,,,,,,,,
161,"Marsteller, S.J. (2015). Community Identity and Social Diversity on the Central Peruvian Coast: A Bioarchaeological Investigation of Ychsma Diet, Mobility, and Mortuary Practices (c. AD 900-1470). Doctoral Dissertation. University of Arizona. Tempe.",,,,,,,,,,,,,,,
14,"Mauldin, R., Muñoz, C. M., & Salzman, B. (2019). Indicadores isotópicos estables de carbono, nitrógeno y oxígeno en los entierros del sitio de Incahuasi, Santa Cruz, Bolivia.  In: S. Alconini (Ed.) El Cementerio Prehispánico de Incahuasi: Una mirada desde la vertiente Oriental de los Andes del Sur Santa Cruz de la Sierra, Bolivia (pp. 217- 345). Santa Cruz de la Sierra: Grupo Editorial La Hoguera.",,,,,,,,,,,,,,,
74,"McRostie, V.  (2014). Arboricultura y silvopastoralismo en el período Formativo (1.400 aC-500 dC) de la cuenca del Salar de Atacama. Chungará, Revista de Antropología Chilena, 46, 543–557.",,,,,,,,,,,,,,,
70,"Nado, K.L., Marsteller, S.J., King, L.M., Daverman, B.M., Torres-Rouff, C., & Knudson, K.J. (2012). Examining local social identities through patterns of biological and cultural variation in the Solcor ayllu, San Pedro de Atacama, Chile. Chungará, Revista de Antropología Chilena, 44, 341–357.",,,,,,,,,,,,,,,
63,"Oppitz, G. (2015). Coisas que mudam: Os processos de mudança nos sítios conchíferos catarinenses e um olhar isotópico sobre o caso do sítio Armação do sul, Florianópolis/SC. Maters' thesis. Universidade de São Paulo.",,,,,,,,,,,,,,,
212,"Pezo Lanfranco, L., Vega-Centeno Alzamora, M., Martins, V., Petronilho, L., & Vargas Rodríguez, L. (2020). Datos isotópicos como fuente de información en arqueología forense: el soldado peruano de la batalla del Alto de la Alianza (Perú, 1880). Cuba Arqueológica Revista Digital de Arqueología de Cuba y el Caribe, 13(1), 65-83.",,,,,,,,,,,,,,,
211,"Phan, J., Vega, M.C., Landa, P., Pezo-Lanfranco, L. (2020). Una mirada a la vida (y muerte) de tres inmigrantes chinos de mediados y finales del siglo XIX: análisis osteobiográfico y del ritual funerario. I Webinar Sudamericano de Antropología Biológica, October 27th. Lima-Perú.",,,,,,,,,,,,,,,
146,"Row, K. (2013). Strontium isotopes and geolocation: the pathway for identification of victims in Medellín, Colombia. Masther's thesis. Boston University.",,,,,,,,,,,,,,,
214,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-5",,,,,,,,,,,,,,,
215,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-6",,,,,,,,,,,,,,,
216,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-7",,,,,,,,,,,,,,,
217,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-8",,,,,,,,,,,,,,,
218,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-9",,,,,,,,,,,,,,,
219,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-10",,,,,,,,,,,,,,,
220,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-11",,,,,,,,,,,,,,,
221,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-12",,,,,,,,,,,,,,,
222,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-13",,,,,,,,,,,,,,,
223,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-14",,,,,,,,,,,,,,,
224,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-15",,,,,,,,,,,,,,,
225,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-16",,,,,,,,,,,,,,,
226,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-17",,,,,,,,,,,,,,,
227,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-18",,,,,,,,,,,,,,,
228,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-19",,,,,,,,,,,,,,,
229,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-20",,,,,,,,,,,,,,,
230,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-21",,,,,,,,,,,,,,,
231,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-22",,,,,,,,,,,,,,,
232,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-23",,,,,,,,,,,,,,,
233,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-24",,,,,,,,,,,,,,,
234,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-25",,,,,,,,,,,,,,,
235,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-26",,,,,,,,,,,,,,,
236,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-27",,,,,,,,,,,,,,,
237,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-28",,,,,,,,,,,,,,,
238,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-29",,,,,,,,,,,,,,,
239,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-30",,,,,,,,,,,,,,,
240,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-31",,,,,,,,,,,,,,,
241,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-32",,,,,,,,,,,,,,,
242,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-33",,,,,,,,,,,,,,,
243,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-34",,,,,,,,,,,,,,,
244,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-35",,,,,,,,,,,,,,,
245,"Scaffidi, B., Kamenov, G,D., Sharpe, A.E., & John Krigbaum, J. (2021b). Non-Local Enemies or Local Subjects of Violence?: Using Strontium (87Sr/86Sr) and Lead ( 206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb) Isobiographies to Reconstruct Geographic Origins and Early Childhood Mobility of Decapitated Male Heads from the Majes Valley, Peru. Journal of Archaeological Method and Theory, 29, 426–479. https://doi.org/10.1007/s10816-021-09519-36",,,,,,,,,,,,,,,
