"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LYJSKNDW","journalArticle","2021","Magozzi, Sarah; Bataille, Clement P.; Hobson, Keith A.; Wunder, Michael B.; Howa, John D.; Contina, Andrea; Vander Zanden, Hannah B.; Bowen, Gabriel J.","Calibration chain transformation improves the comparability of organic hydrogen and oxygen stable isotope data","Methods in Ecology and Evolution","","2041-210X","10.1111/2041-210X.13556","https://onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13556","Stable hydrogen and oxygen isotopic compositions (δ2H and δ18O, respectively) of animal tissues have been used to infer geographical origin or mobility based on the premise that the isotopic composition of tissue is systematically related to that of local water sources. Isotopic data for known-origin samples are required to quantify these tissue–environment relationships. Although many of such data have been published and could be reused by researchers, differences in the standards used for calibration and analytical procedures for different datasets limit the comparability of these data. We develop an algorithm that uses results from comparative analysis of secondary standards to transform data among reference scales and estimate the uncertainty inherent in these transformations. We apply the algorithm to a compilation of known-origin keratin data published over the past 20 years. We show that transformation improves the comparability of data from different laboratories, and that the transformed data suggest ecophysiologically meaningful differences in keratin–water relationships among different animal groups and taxa. The compiled data and algorithms are freely available in the ASSIGNR r-package to support geographical provenance research, and more generally offer a methodology overcoming several challenges in geochemical data integration and reuse.","2021","2023-11-22 20:04:36","2023-11-22 20:04:36","2023-11-22 20:04:36","732-747","","4","12","","","","","","","","","","en","© 2021 The Authors. Methods in Ecology and Evolution published by John Wiley & Sons Ltd on behalf of British Ecological Society","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.13556","","C:\Users\chris\Zotero\storage\RCNRVEMT\Magozzi et al. - 2021 - Calibration chain transformation improves the comp.pdf; C:\Users\chris\Zotero\storage\V2FJ4GE7\2041-210X.html","","","calibration; comparative equilibration; database; isotopic exchange; keratin; known-origin; reference materials; standards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQ2VC9G5","journalArticle","2007","Passey, Benjamin H.; Cerling, Thure E.; Levin, Naomi E.","Temperature dependence of oxygen isotope acid fractionation for modern and fossil tooth enamels","Rapid Communications in Mass Spectrometry","","1097-0231","10.1002/rcm.3149","https://onlinelibrary.wiley.com/doi/abs/10.1002/rcm.3149","The oxygen isotope ratio of CO2 liberated from structural carbonate in tooth enamel apatite was measured at phosphoric acid reaction temperatures of 25°C, 60°C and 90°C, and it was found that apparent acid fractionation factors for pristine enamel, fossilized enamel, and calcite follow different temperature relationships. Using sealed vessel reactions normalized to α25 = 1.01025 (the fractionation factor for calcite at 25°C), the apparent fractionation factor at 90°C (α*90) for pristine enamel ranged between 1.00771 and 1.00820, and between 1.00695 and 1.00772 for fossilized enamel. Apparent fractionation factors for common acid bath reactions are similar to those for sealed vessel reactions. A significant correlation exists between α*90 and F− content, suggesting that change in the acid fractionation factor may be related to the replacement of OH− with F− during fossilization of bioapatite. These results have important implications for making accurate comparisons between modern and fossil tooth enamel δ18O values, and for the uniformity of isotope data produced in different laboratories using different acid reaction temperatures. Copyright © 2007 John Wiley & Sons, Ltd.","2007","2023-11-22 20:33:38","2023-11-22 20:33:38","2023-11-22 20:33:38","2853-2859","","17","21","","","","","","","","","","en","Copyright © 2007 John Wiley & Sons, Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/rcm.3149","","C:\Users\chris\Zotero\storage\PLC4D4SB\Passey et al. - 2007 - Temperature dependence of oxygen isotope acid frac.pdf; C:\Users\chris\Zotero\storage\DTZWKGJ6\rcm.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFPWAJUI","journalArticle","2014","Kusaka, Soichiro; Nakano, Takanori","Carbon and oxygen isotope ratios and their temperature dependence in carbonate and tooth enamel using a GasBench II preparation device","Rapid Communications in Mass Spectrometry","","1097-0231","10.1002/rcm.6799","https://onlinelibrary.wiley.com/doi/abs/10.1002/rcm.6799","","2014","2023-11-22 22:17:17","2023-11-22 22:17:17","2023-11-22 22:17:17","563-567","","5","28","","","","","","","","","","en","Copyright © 2014 John Wiley & Sons, Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/rcm.6799","","C:\Users\chris\Zotero\storage\7NKPR7WQ\Kusaka and Nakano - 2014 - Carbon and oxygen isotope ratios and their tempera.pdf; C:\Users\chris\Zotero\storage\HTHHZDH5\rcm.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIITKCNY","journalArticle","2021","Ueda, Momoko; Bell, Lynne S.","Assessing the predictability of existing water-to-enamel geolocation models against known human teeth","Scientific Reports","","2045-2322","10.1038/s41598-021-95153-w","https://www.nature.com/articles/s41598-021-95153-w","Stable isotope analysis of human tissues has become a valuable tool for mapping human geolocation. This study adds to the existing knowledge of the relationship between oxygen stable isotopes in human enamel and drinking water by presenting enamel oxygen values in clinic-extracted human dental enamel with known provenance. The results from this study indicate that the theoretical isotopic relationship between enamel and drinking water oxygen is weak at the city and country-level. Differences of up to 15‰ were observed between predicted drinking water oxygen values using existing models and observed values, highlighting the complexity of using water/enamel conversion equations. The lower isotopic boundary of enamel oxygen values is now understood for Metro Vancouver at δ18Oc(VPDB) = – 11.0‰ and presents the possibility of using stable isotope analysis as an exclusionary tool where individuals falling below threshold value can be identified as non-local. Overall, this study’s results support the development of geographical reference maps for human enamel oxygen.","2021-08-02","2023-11-22 22:44:05","2023-11-22 22:44:05","2023-11-22 22:44:05","15645","","1","11","","Sci Rep","","","","","","","","en","2021 The Author(s)","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","C:\Users\chris\Zotero\storage\CSKAVEMN\Ueda and Bell - 2021 - Assessing the predictability of existing water-to-.pdf","","","Archaeology; Stable isotope analysis; Biological anthropology; Geochemistry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Q9GR9CP","webpage","","Isotope Science Lab","Techniques","Instrumental Techniques used in the ISL","","","","https://www.ucalgary.ca/labs/isotope-science-lab/techniques","","","2023-12-06 18:56:22","2023-12-06 18:57:10","2023-12-06 18:56:22","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\chris\Zotero\storage\U8BUHDSG\techniques.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EN8WTYV9","journalArticle","2018","Green, Daniel R.; Smith, Tanya M.; Green, Gregory M.; Bidlack, Felicitas B.; Tafforeau, Paul; Colman, Albert S.","Quantitative reconstruction of seasonality from stable isotopes in teeth","Geochimica et Cosmochimica Acta","","00167037","10.1016/j.gca.2018.06.013","https://linkinghub.elsevier.com/retrieve/pii/S0016703718303284","","2018-08","2023-12-05 23:28:38","2023-12-05 23:28:38","2023-12-05 23:28:38","483-504","","","235","","Geochimica et Cosmochimica Acta","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\chris\Zotero\storage\H822Q6TU\Green et al. - 2018 - Quantitative reconstruction of seasonality from st.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRFINYJ6","journalArticle","2016","Pietsch, Stephanie J.; Tütken, Thomas","Oxygen isotope composition of North American bobcat ( <i>Lynx rufus</i> ) and puma ( <i>Puma concolor</i> ) bone phosphate: implications for provenance and climate reconstruction","Isotopes in Environmental and Health Studies","","1025-6016, 1477-2639","10.1080/10256016.2015.1113957","http://www.tandfonline.com/doi/full/10.1080/10256016.2015.1113957","","2016-03-03","2023-12-05 23:28:04","2023-12-05 23:28:04","2023-12-05 23:28:04","164-184","","1-2","52","","Isotopes in Environmental and Health Studies","Oxygen isotope composition of North American bobcat ( <i>Lynx rufus</i> ) and puma ( <i>Puma concolor</i> ) bone phosphate","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSPPYQWK","journalArticle","2022","Iacumin, Paola; Rossi, Mattia; Selmo, Enricomaria; Venturelli, Giampiero","Oxygen Isotopes in Carbonate and Phosphate of Modern Mammal Bioapatite: New Data and Critical Revision after about 25 Years from the First Recognitions","Minerals","","2075-163X","10.3390/min12101204","https://www.mdpi.com/2075-163X/12/10/1204","Oxygen and carbon isotopes of well-preserved skeletal remains give relevant support to archaeological and environmental reconstructions. However, the preservation of the skeletal remains must be preliminarily checked. About twenty-five years ago, a diagnostic method based on the oxygen isotope ratio in the phosphate, δ(O18/O16)Ph, and carbonate, δ(O18/O16)Carb, of bioapatite of modern mammals was proposed: for well-preserved samples, the δ(O18/O16)Ph and δ(O18/O16)Carb should plot near the regression line δ(O18/O16)Ph on δ(O18/O16)Carb obtained for modern mammals. In the last twenty years, techniques of analysis have changed. In the past, BiPO4 or Ag3PO4 were precipitated from dissolved bioapatite and analysed with the fluorination technique, whereas at present, temperature reduction (HTR) in a glassy carbon reactor with CO release is commonly used. Taking into account the HTR technique, for some modern mammals, we report a new δ(O18/O16)Ph + 1 on  δ(O18/O16)Carb + 1 regression line, and related dispersion of the data that, in addition to mineralogical and structural methods, may be used to select samples reliable for archaeological use. In the past, other similar regression lines on modern mammals were defined by several authors. However, statistical results indicate that data used for these regression lines cannot be pooled because the hypothesis of a similar elevation is rejected.","2022-09-24","2023-12-05 23:16:08","2023-12-05 23:16:08","2023-12-05 23:16:08","1204","","10","12","","Minerals","Oxygen Isotopes in Carbonate and Phosphate of Modern Mammal Bioapatite","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\chris\Zotero\storage\8A5KILDQ\Iacumin et al. - 2022 - Oxygen Isotopes in Carbonate and Phosphate of Mode.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XC924T76","journalArticle","2020","Moore, Joanna; Rose, Alice; Alice Rose; Anderson, Sue; Evans, Jane; Nowell, Geoff; Gröcke, Darren R.; Pashley, Vanessa; Magnus Kirby; Kirby, Magnus; Montgomery, Janet","A multi-isotope (C, N, O, Sr, Pb) study of Iron Age and Roman period skeletons from east Edinburgh, Scotland exploring the relationship between decapitation burials and geographical origins.","Journal of Archaeological Science: Reports","","","10.1016/j.jasrep.2019.102075","","Abstract   Recent excavations at Musselburgh, East Lothian (Scotland) revealed twelve skeletons, radiocarbon dated to the Iron Age and Roman period. The high incidence of skeletal trauma characteristic of decapitation in those of Roman date makes this site unusual. A multi-isotope investigation of seven of these individuals was conducted to explore any link between intrusive burial practices and migration at one of Britain’s most northerly frontiers. Bulk collagen analysis provided a terrestrial, C3, dietary protein signal (mean δ13C −20.4‰ and δ15N+11.1‰), consistent with other Romano-British studies. However, the range of δ18O, 87Sr/86Sr and Pb isotopes indicate more diverse origins for the Roman individuals. These results suggest that decapitation burials were afforded to migrants to the Lothian area, but is not indicative of a common origin, implying that something more complex than a shared geographic childhood origin united these individuals. The possible association of these decapitation burials with a nearby 2nd century fort suggests that they may also represent some of the earliest examples of Roman decapitation burials to be found anywhere in Britain.","2020-02-01","2024-01-05 17:03:27","2024-01-05 17:03:27","","102075","","","29","","","","","","","","","","","","","","","","","DOI: 10.1016/j.jasrep.2019.102075 MAG ID: 2998077732 S2ID: 6991586eebe93589b5b1c6eb8ee2fab6540ea7f7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FM52QW5N","journalArticle","2016","Shaw, Heidi; Montgomery, Janet; Redfern, Rebecca C.; Gowland, Rebecca; Evans, Jane","Identifying migrants in Roman London using lead and strontium stable isotopes.","Journal of Archaeological Science","","","10.1016/j.jas.2015.12.001","","The ancient settlement of Londinium (London) has long been characterized as a major commercial and bureaucratic centre of the Roman province of Britain (Britannia). Primary source information indicates that people were drawn to the city from around the Empire. Mortuary and archaeological material evidence also attest to its cosmopolitan nature and have long been used to characterize the people who are buried in Londinium and identify where they may have originated. Within the past decade, researchers have successfully applied isotopic analyses of strontium and oxygen to human remains from various settlements in Roman Britain in order to identify the migrant status of the inhabitants. Recent studies have highlighted the utility of lead isotopes for examining past mobility, particularly for the Roman period. The aim of this project, therefore, was to apply lead and strontium isotope analyses to dental enamel samples from twenty individuals excavated from Londinium. The results suggest that the geographic origins of the population of Roman London varied, comprising individuals local to Londinium and Britannia, but also from further afield in the Empire, including Rome. The findings from this study are a valuable addition to the growing stable isotope dataset that is helping to characterize the nature of migration in Roman Britain, and this has broader implications for interpreting the relationship of migration and identity in the province.","2016-02-01","2024-01-05 17:03:27","2024-01-05 17:03:27","","57-68","","","66","","","","","","","","","","","","","","","","","DOI: 10.1016/j.jas.2015.12.001 MAG ID: 2229521364 S2ID: e54fc306173ba4584fbf814dccee5e80e2f5dcc1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRPW9RZU","journalArticle","2020","Baron, Sandrine; M. Souhassou; Souhassou, Mustapha; Fauvelle, François-Xavier; F.‐X. Fauvelle","Medieval Silver Production around Sijilmâsa, Morocco","Archaeometry","","","10.1111/arcm.12546","","Sijilmâsa (south‐east Morocco) was one of the most strategic cities in a far‐reaching exchange network, that is, the Trans‐Saharan trade, linking the Maghreb with West Africa during the medieval period (from the 8 th to the 15 th century CE). It was also one of the most important gold and silver monetary workshops at the time. If gold came from West Africa, we know from written sources that silver was produced in Morocco, although archaeological evidence of silver mining and smelting has remained elusive. Thanks to a thorough analysis of the lead isotopic data from silver mining districts in Morocco and from ores and slags of our study, we were able to refine the tracing of our materials and provide tangible evidence of medieval mining in the close hinterland of Sijilmâsa city.","2020-02-08","2024-01-05 17:03:27","2024-01-05 17:03:27","","593-611","","3","62","","","","","","","","","","","","","","","","","DOI: 10.1111/arcm.12546 MAG ID: 3004563458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KMQSR4W6","journalArticle","2019","Angelini, Ivana; Canovaro, Caterina; Venturino, Marica; Gilberto Artioli; Artioli, Gilberto","The silver treasure of Marengo: silver provenancing and insights into late antiquity Roman and Gallo-Roman hoards","Archaeological and Anthropological Sciences","","","10.1007/s12520-019-00851-2","","Lead isotopic ratios were measured on silver fragments extracted from several important objects of the hoard of Marengo. The hoard, known as the “treasure of Marengo”, is one of the most important silver assemblages of late antiquity. It is dated to the second half of the 2nd century AD-first half of the 3rd century AD. The interpretation of the resulting isotopic data based on extended reference isotopic databases of lead/silver ores indicates that most of the analysed objects from Marengo form a rather homogeneus stock of silver metal having a signature affine to the mines of French Massif Central. One of the objects, a large belt with figures of divinity and heroes, was made of Iberian silver, and the Pb-Ag-Cu alloy present in the filling of the arm of a female statuette is rich in Sardinian lead. The results are discussed in terms of the known circulation of silver metal in the Roman Empire in the 1st and 2nd century AD. The lead isotope data are compared with available data on coeval Roman silver hoards (Notre Dame d’Allencon, Berthouville, Graincourt-les-Havrincourt, Boscoreale), circulating silver denarii, and Roman lead ingots rescued from shipwrecks in the Western Mediterranean sea. The role of the Iberian and French mines in the silver production from the 1st to the first half of the 3rd century AD is discussed.","2019-05-29","2024-01-05 17:03:27","2024-01-05 17:03:27","","4959-4970","","9","11","","","","","","","","","","","","","","","","","DOI: 10.1007/s12520-019-00851-2 MAG ID: 2947812873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKDVXTN5","journalArticle","2020","Killick, David; Stephens, Jay; J. Stephens; T. R. Fenn; Fenn, Thomas R.","GEOLOGICAL CONSTRAINTS ON THE USE OF LEAD ISOTOPES FOR PROVENANCE IN ARCHAEOMETALLURGY","Archaeometry","","","10.1111/arcm.12573","","","2020-04-20","2024-01-05 17:03:27","2024-01-05 17:03:27","","86-105","","","62","","","","","","","","","","","","","","","","","DOI: 10.1111/arcm.12573 MAG ID: 3019959040 S2ID: 8d9f0d82825e9cf3893d30d5bd82ccc5dd14ef44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UM7EUMUT","journalArticle","2019","Galili, Ehud; Rosen, Baruch; Arenson, Sarah; Nir‐El, Yoram; David Jacoby; Jacoby, David","A cargo of lead ingots from a shipwreck off Ashkelon, Israel 11th–13th centuries AD","International Journal of Nautical Archaeology","","","10.1111/1095-9270.12365","","Shipwreck cargo of lead ingots, some marked, discovered off Tel Ashkelon, weighed about four tonnes. C14 analysis of charred wood from an ingot dated it to the 11th–13th centuries AD, Crusader times. Lead isotopic ratios provenanced the ingots to Mont‐Lozère, France. Various aspects of the lead trade are discussed, including: lead sources, extraction, casting, lead in the international maritime trade, weight units in medieval trade, prices, transportation, sale and storage, lead cargo and ballast, reconstruction of the wrecking event, salvage after the vessel was wrecked, Ashkelon as a trading coastal town in the 11th–13th centuries AD, and the possible destination of the cargo.","2019-09-01","2024-01-05 17:03:27","2024-01-05 17:03:27","","453-465","","2","48","","","","","","","","","","","","","","","","","DOI: 10.1111/1095-9270.12365 MAG ID: 2967540686","","C:\Users\chris\Zotero\storage\CTVYPBIS\Galili et al. - 2019 - A cargo of lead ingots from a shipwreck off Ashkel.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NTU39XQ","journalArticle","2006","Baron, Sandrine; Carignan, Jean; Sarah Laurent; Sarah Laurent; Laurent, S.; Alain Ploquin; Ploquin, Alain","Medieval lead making on Mont-Lozère Massif (Cévennes-France): Tracing ore sources using Pb isotopes","Applied Geochemistry","","","10.1016/j.apgeochem.2005.09.005","","Abstract   This study aims to document the origin of metallurgical activities on the Mont-Lozere Massif (Cevennes Mountains, South of Massif Central, France), which is the largest medieval site of Pb–Ag metallurgical activities in France. These activities are characterised by more than 70 sites comprising numerous dispersed slags. Related charcoal samples dated by 14C have yielded a medieval, ca. XI–XII th. C. age. Numerous ore deposits, now mostly old mine tailings, surround the granitic massif and are possible candidates for suppliers of the old smelting activities. In Western Europe, Pb–Ag mines were of primordial importance for the medieval monetary system. Mines were intensively coveted by Lords, Bishops and Kings, and their exploitation was strictly regulated by each owner. The scarcity of ancient manuscripts makes it impossible to use a historical approach to determine the ore source regions related to a given metallurgical activity.  The ore sources for this metallurgical activity were traced by comparing the Pb isotopic composition of slags and that of galena deposits surrounding the Mont-Lozere. The range of Pb isotopic compositions measured in slag samples is restricted and included in the field defined by galena from surrounding ores in Pb–Pb isotope diagrams. It is shown that, although direct tracing of the ore supplies is not straightforward, many ancient mine areas must be excluded, whereas some others seem highly likely. These old mines are not necessarily the closest to the smelting sites, suggesting that the choice of metal making location was constrained by several factors, including type of wood (here beech) and water proximity, but more importantly land ownership.","2006-02-01","2024-01-05 17:03:27","2024-01-05 17:03:27","","241-252","","2","21","","","","","","","","","","","","","","","","","DOI: 10.1016/j.apgeochem.2005.09.005 MAG ID: 2027292559 S2ID: 7827f4a3c7a51d32538013a7f4a434f49424d5bd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBBN4AG5","journalArticle","2012","Skaggs, Sheldon; Norman, Naomi J.; Garrison, Ervan G.; Coleman, Drew S.; Bouhlel, Salah","Local mining or lead importation in the Roman province of Africa Proconsularis? Lead isotope analysis of curse tablets from Roman Carthage, Tunisia","Journal of Archaeological Science","","","10.1016/j.jas.2011.11.015","","Abstract   This study attempts to determine if there was Roman lead mining in Africa Proconsularis, approximately the area of modern day Tunisia, using lead isotope analysis. Another important aspect of the study is the innovative use of electron microprobe analysis (EMPA) as a screening tool to greatly reduce the number of expensive lead isotope analyses needed for the study. The EMPA X-ray mapping for arsenic, antimony, copper, and silver narrowed the sample of curse tablets to those most likely produced from Tunisian ores; these tablets were then tested using thermal ionization mass spectrometry (TIMS) analysis. A total of 96 Roman lead curse tablets from Carthage, Tunisia were screened with EMPA and twenty selected for TIMS to determine the ore sources of the lead used to manufacture the tablets. Comparing the lead isotope ratios of twelve of the sixteen tablets most likely to be made of Tunisian lead to samples of Tunisian ores suggests that the Romans were mining lead in Africa Proconsularis and were not relying solely on imports.","2012-04-01","2024-01-05 17:03:26","2024-01-05 17:03:26","","970-983","","4","39","","","","","","","","","","","","","","","","","DOI: 10.1016/j.jas.2011.11.015 MAG ID: 2091546518 S2ID: 72ba3c8f0ab4aec970ca5f5621362a7c445c4308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H96EZY66","journalArticle","1963","Moorrees, Coenraad FA; Fanning, Elizabeth A; Hunt Jr, Edward E","Age variation of formation stages for ten permanent teeth","Journal of dental research","","","","","","1963","2023-12-21 23:49:17","2023-12-21 23:49:17","","1490–1502","","6","42","","","","","","","","","","","","","","","","","Publisher: SAGE Publications Sage CA: Los Angeles, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8MS4L8F","journalArticle","2023","Lin, Audrey T.; Hammond-Kaarremaa, Liz; Liu, Hsiao-Lei; Stantis, Chris; McKechnie, Iain; Pavel, Michael; Pavel, Susan sa'hLa mitSa; Wyss, Senaqwila Sen̓áḵw; Sparrow, Debra qwasen; Carr, Karen; Aninta, Sabhrina Gita; Perri, Angela; Hartt, Jonathan; Bergström, Anders; Carmagnini, Alberto; Charlton, Sophy; Dalén, Love; Feuerborn, Tatiana R.; France, Christine A. M.; Gopalakrishnan, Shyam; Grimes, Vaughan; Harris, Alex; Kavich, Gwénaëlle; Sacks, Benjamin N.; Sinding, Mikkel-Holger S.; Skoglund, Pontus; Stanton, David W. G.; Ostrander, Elaine A.; Larson, Greger; Armstrong, Chelsey G.; Frantz, Laurent A. F.; Hawkins, Melissa T. R.; Kistler, Logan","The history of Coast Salish “woolly dogs” revealed by ancient genomics and Indigenous Knowledge","Science","","","10.1126/science.adi6549","https://www.science.org/doi/10.1126/science.adi6549","Ancestral Coast Salish societies in the Pacific Northwest kept long-haired “woolly dogs” that were bred and cared for over millennia. However, the dog wool–weaving tradition declined during the 19th century, and the population was lost. In this study, we analyzed genomic and isotopic data from a preserved woolly dog pelt from “Mutton,” collected in 1859. Mutton is the only known example of an Indigenous North American dog with dominant precolonial ancestry postdating the onset of settler colonialism. We identified candidate genetic variants potentially linked with their distinct woolly phenotype. We integrated these data with interviews from Coast Salish Elders, Knowledge Keepers, and weavers about shared traditional knowledge and memories surrounding woolly dogs, their importance within Coast Salish societies, and how colonial policies led directly to their disappearance.","2023-12-15","2023-12-20 18:07:58","2023-12-20 18:07:58","2023-12-20 18:07:57","1303-1308","","6676","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","C:\Users\chris\Zotero\storage\JH6ZJ5H9\Lin et al. - 2023 - The history of Coast Salish “woolly dogs” revealed.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"565SMLA7","book","2015","Navarro, Danielle","Learning statistics with R: A tutorial for psychology students and other beginners. (Version 0.6)","","","","","https://learningstatisticswithr.com","","2015","2023-12-14 18:27:22","2023-12-14 18:27:22","","","","","","","","","","","","","University of New South Wales","Sydney, Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCHT8VMR","journalArticle","2023","Go, Matthew C.; Dwyer, Isis; Loewen, Tisa N.; Yukyi, Nandar; Clemmons, Chaunesey; Garcia, Sydney S.; Afra, Kamar; Bouderdaben, Fatimah A.; Craig, Alba; Melhado, Isabel S.; Ramos, Tanya; Robledo, Ivanna; Turner-Byfield, Evonne; Young, Aaron J.; Juarez, Jessica K.; Chu, Elaine Y.; Yim, An-Di; Nesbitt, Allison; Goliath, Jesse R.","Pioneers of Color: A Counternarrative of Foundational Figures in Forensic Anthropology's History","Forensic Anthropology","","2573-5039, 2573-5020","10.5744/fa.2023.0017","https://journals.upress.ufl.edu/fa/article/view/2360","Popular renditions on the history of forensic anthropology have traced the discipline’s roots back to early European anatomy and nineteenth to twentieth-century American research and applications to the legal system, often highlighting the works of several recurring figures. These forebearers are overwhelmingly composed of white men to the exclusion of, as we argue here, pioneers of color. As a counter to prevailing Eurocentric narratives, we present the biographies of diverse contemporaries who were equally foundational to the field, including Black Americans, immigrants, and luminaries outside of the Western world. Common themes among their experiences involved discrimination, a lack of opportunities and recognition, and a biocultural and humanistic praxis that demonstrate modern discourses within the forensic anthropology community are not novel. Ultimately, this work shows that the historical foundations of forensic anthropology, in both the United States and globally, include a far more diverse cast of pioneers than what the prevailing literature suggests and should serve as a springboard from which our discipline can grow, both in its past and in its future.","2023-11-29","2023-12-14 15:53:09","2023-12-14 15:53:09","2023-12-14 15:53:09","","","","","","FA","Pioneers of Color","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\chris\Zotero\storage\ALSG8LAL\Go et al. - 2023 - Pioneers of Color A Counternarrative of Foundatio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WUDCJDZ","webpage","2023","Bidal, Devon","The Story of the Indigenous Wool Dog Told Through Oral Histories and DNA","Hakai Magazine","","","","https://hakaimagazine.com/news/the-story-of-the-indigenous-wool-dog-told-through-oral-histories-and-dna/","","2023","2024-01-23 03:18:18","2024-06-03 16:25:31","2024-01-23 03:18:18","","","","","","","","","","","","","","","","","","","","","","","C:\Users\chris\Zotero\storage\BW9IN4FQ\the-story-of-the-indigenous-wool-dog-told-through-oral-histories-and-dna.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
