Entry;Country;Site_Name;Sample_Id;Biome 1;Biome 2;Region;Valley, locality, closest town, political jurisdiction;Latitude (WGS 84);Longitude (WGS 84);Altitude (masl);Exact_coordinates?;Site location_radius (km);Ref_coordinates;Archaeological_site_description;Archaeological_site_function;Archeological_Culture;Relative_chronology (Period/phase) ;Relative_date_from;Relative_date_to;Age_System_Relative;Absolute_chronology_method;Radiocarbon_Lab_Code;Conventional 14C_date (BP);Error (±1σ);Calibrated/modelled 14C (95%)_from;Calibrated/modelled 14C (95%)_to;Age_System_Absolute;Material_dated;Lab_Id;Type_source;Taxon/local name;Genus/Species;Phostosynthetic_Pathway;Plant_domesticate;Sample_type;wt%C;wt%N;C:N;δ13C;δ15N;δ34S;δ18O;87Sr/86Sr;Other_isotope_or analytical value;Description_ of_ other_isotope_or_analytical_value;Extra_information;Description_of_extra_information;Additional_info_source;Preservation_criteria ;Comments;Original_Reference;Original_Full_Reference;Compilation_Reference;Compilation_Full_Reference;Link_ to_source;Link_to_source_2;;;;;;;;;;;;;;;;;
310;Argentina;Valle Diamante – La Jaula;110;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-34.64;-69.32;1674;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0110;Terrestrial flora;;Maihueniopsis darwinii;;;;38.6;1.5;26.6;-11.7;-2.0;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
311;Argentina;Valle Diamante – Agua de Médanos;111;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-34.69;-69.48;1747;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0111;Terrestrial flora;;Pterocactus fisherii;;;;36.8;0.4;102.1;-11.2;-1.1;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
312;Argentina;Valle Diamante – Agua de Médanos;112;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-34.69;-69.48;1747;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0112;Terrestrial flora;;Pterocactus fisherii;;;;27.7;0.4;77.0;-11.6;-1.1;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
313;Argentina;Valle Diamante – Agua de Médanos;113;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-34.69;-69.48;1747;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0113;Terrestrial flora;;Pterocactus fisherii;;;;33.0;0.4;91.6;-12.0;-1.0;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
314;Argentina;Valle Diamante – Agua de Médanos;114;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-34.69;-69.48;1747;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0114;Terrestrial flora;;Pterocactus fisherii;;;;31.4;0.4;87.3;-11.4;-2.2;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
315;Argentina;Laguna Llancanelo;123;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.76;-69.17;1342;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0123;Terrestrial flora;;Maihueniopsis darwinii;;;;34.9;1.1;33.2;-12.5;2.4;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
316;Argentina;Laguna Llancanelo;124;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.76;-69.17;1342;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0124;Terrestrial flora;;Maihueniopsis darwinii;;;;36.9;0.9;42.9;-11.5;7.5;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
317;Argentina;Oeste La Payunia;125;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-36;-68.84;1668;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0125;Terrestrial flora;;Pterocactus tuberosus;;;;41.3;0.5;86.0;-11.3;-1.2;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
318;Argentina;Oeste La Payunia;126;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-36;-68.84;1668;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0126;Terrestrial flora;;Pterocactus tuberosus;;;;44.3;0.5;98.5;-12.2;-0.3;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
319;Argentina;Oeste La Payunia;127;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-36;-68.84;1668;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0127;Terrestrial flora;;Pterocactus tuberosus;;;;34.2;1.1;30.3;-10.5;-0.9;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
320;Argentina;Oeste La Payunia;128;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-36;-68.84;1668;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0128;Terrestrial flora;;Maihueniopsis darwinii;;;;30.8;0.3;96.3;-11.5;-0.5;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
321;Argentina;Valle Las Leñas;138;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.21;-70.06;2472;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0138;Terrestrial flora;;Maihueniopsis darwinii;;;;36.9;0.5;72.3;-11.9;0.4;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
322;Argentina;Valle Las Leñas;139;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.21;-70.06;2472;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0139;Terrestrial flora;;Maihueniopsis darwinii;;;;35.6;0.2;209.2;-12.0;0.7;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
323;Argentina;Valle Las Leñas;140;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.21;-70.06;2472;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0140;Terrestrial flora;;Maihueniopsis darwinii;;;;35.1;0.2;167.1;-11.6;-1.2;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
324;Argentina;Valle Las Leñas;141;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.21;-70.06;2472;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0141;Terrestrial flora;;Maihueniopsis darwinii;;;;30.3;0.3;91.7;-12.6;1.3;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
325;Argentina;Valle Las Leñas;142;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.2;-70.05;2484;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0142;Terrestrial flora;;Maihueniopsis darwinii;;;;39.1;0.3;126.2;-12.0;1.5;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
326;Argentina;Valle Las Leñas;144;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.2;-70.05;2484;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0144;Terrestrial flora;;Maihueniopsis darwinii;;;;41.4;0.5;81.1;-11.7;-0.5;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
327;Argentina;Valle Las Leñas;145;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.2;-70.05;2484;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0145;Terrestrial flora;;Maihueniopsis darwinii;;;;39.3;0.3;115.6;-12.1;-0.8;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
328;Argentina;Valle Las Leñas;146;Montane grasslands and shrublands;Andean-Patagonian desert;Central-Western Argentina;Highlands, southern Mendoza province;-35.2;-70.05;2484;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0146;Terrestrial flora;;Maihueniopsis darwinii;;;;41.2;0.3;128.7;-11.3;-1.0;;;;;;Patagonia;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
329;Argentina;Gruta del Indio;191;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Southern Mendoza province;-34.7674;-68.3704;703;Exact;;Moscardi et al. (2022);;;;Modern;;;;;;;;;;;;P0191rr;Terrestrial flora;;Pterocactus tuberosus;;;;40.8;0.8;51.0;-13.4;2.6;;;;;;Monte;Location of plant;Moscardi, B. F., Bernal, V., Silva Araújo, M., Gordón, F., Cobos, V. A., Brachetta‐Aporta, N., ... & Perez, S. I. (2022). Diet composition and prey choice in prehistoric human individuals from Northwest Patagonia: An application of species distribution and isotope mixing models. American Journal of Biological Anthropology, 179(4), 568-584.;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
330;Argentina;Gruta del Indio;192;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Southern Mendoza province;-34.7674;-68.3704;703;Exact;;Moscardi et al. (2022);;;;Modern;;;;;;;;;;;;P0192rr;Terrestrial flora;;Pterocactus tuberosus;;;;39.4;0.6;65.7;-12.8;2.7;;;;;;Monte;Location of plant;Moscardi, B. F., Bernal, V., Silva Araújo, M., Gordón, F., Cobos, V. A., Brachetta‐Aporta, N., ... & Perez, S. I. (2022). Diet composition and prey choice in prehistoric human individuals from Northwest Patagonia: An application of species distribution and isotope mixing models. American Journal of Biological Anthropology, 179(4), 568-584.;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
331;Argentina;Gruta del Indio;193;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Southern Mendoza province;-34.7674;-68.3704;703;Exact;;Moscardi et al. (2022);;;;Modern;;;;;;;;;;;;P0193;Terrestrial flora;;Pterocactus tuberosus;;;;40.0;1.1;37.0;-12.7;3.5;;;;;;Monte;Location of plant;Moscardi, B. F., Bernal, V., Silva Araújo, M., Gordón, F., Cobos, V. A., Brachetta‐Aporta, N., ... & Perez, S. I. (2022). Diet composition and prey choice in prehistoric human individuals from Northwest Patagonia: An application of species distribution and isotope mixing models. American Journal of Biological Anthropology, 179(4), 568-584.;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
332;Argentina;NE San Rafael;217;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.5;-68.33;698;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0217;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;36.8;0.5;69.5;-14.4;4.0;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
333;Argentina;NE San Rafael;218;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.5;-68.33;698;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0218;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;53.6;2.1;26.2;-13.6;4.8;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
334;Argentina;NE San Rafael;219;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.5;-68.33;698;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0219;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;36.9;0.6;66.0;-13.0;0.5;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
335;Argentina;NE San Rafael;220;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.5;-68.33;698;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0220;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;38.1;0.6;66.8;-12.2;1.6;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
336;Argentina;NE San Rafael;221;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.5;-68.33;698;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0221;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;35.6;0.4;91.4;-12.0;2.0;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
337;Argentina;General Alvear;233;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.82;-67.32;446;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0233;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;36.7;0.6;57.3;-13.4;3.6;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
338;Argentina;General Alvear;234;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.82;-67.32;446;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0234;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;35.5;0.8;45.0;-14.2;7.8;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
339;Argentina;General Alvear;235;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.82;-67.32;446;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0235;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;42.3;1.3;33.3;-16.1;5.4;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
340;Argentina;General Alvear;236;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.82;-67.32;446;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0236;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;37.6;0.8;47.0;-13.6;4.0;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
341;Argentina;Las Malvinas;254;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.81;-68.27;625;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0254;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;39.3;0.4;93.6;-13.5;1.9;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
342;Argentina;Las Malvinas;255;Temperate grasslands, savannas and shrublands;Monte de Llanuras y Mesetas;Central-Western Argentina;Lowlands, southern Mendoza province;-34.81;-68.27;625;Exact ;;Gil et al. (2020a);;;;Modern;;;;;;;;;;;;P0255;Terrestrial flora;Cactus;Opuntia sulphurea;CAM;No;;40.6;2.4;16.8;-24.3;11.1;;;;;;Monte;Location of plant;;1;The species raw data appear in the Supplementary Data 1;Gil et al. (2020a);Gil, A.F., Ugan, A., & Neme, G.A. (2020). More carnivorous than vegetarian: Isotopic perspectives on human diets in Late Holocene northwestern Patagonia. Journal of Archaeological Science: Reports, 34, Part A, 102620.;;;https://doi.org/10.1016/j.jasrep.2020.102620;https://doi.org/10.1016/j.jasrep.2020.102620;;;;;;;;;;;;;;;;;
